content,complain
"앱 진짜 최악이네요. 전에도 느려서 답답했는데 바뀌고 나니 답답한 정도가 아니라 속터져서 쓸 수 가 없을 정도입니다. 요새 좋은 어플이 
얼마나 많은데 어떻게 돈 들여서 이렇게 만들어 놨는지... 이거 만든 사람은 만들고 돈 받았으면 진짜 양심 없는 겁니다. 제발 
바꿔주세요. 대여하는데 1시간씩 걸려서 많이 이용 못하게 하려는 빅픽쳐가 아닌이상 이건 진짜 말도 안되는 수준이에요..",6월30일 토요일  2007. 유한양행 앞 에 반납했는데통신에 장애가있다고 합니다 두대 반납자전거번호 17977 입니다16783 두대입니다
"이게 뭡니까. 발로 만들었나요. 아예 능럭 안되면 고치지를 말던가. 공공앱이라고 아무렇게나 만들어도 된다고 생각하셨다면 큰 오산입니다. 
저 돈 내고 이용하는 시민이거든요","신용카드 혜택 때문에 여러개 쓰는데, 카드 등록도 여러개 가능하게 좀 부탁드립니다."
패치 왜했냐 안되잖아,"위대하신 따릉이 운영팀님,글쓰기 한번 사용해 보세요글쓰기 시작하기도 전에 내용부분에 커서가 벌써 나보다 한참 앞서가 있네요앱을 개선할건지 어떻지 모르겠지만 이렇게 간단한 건 먼저 수정하면 안되나요?안하는 건가요 아니면 못하는 건가요?"
내 위치 찾기만 되고 자전거 대여소는 안보여주면 어쩌자는건지 너무 느리고 이걸로 보느니 대여소 갔다오는게 빠를듯,한번에 왕창 개선하려고 하지 말고 간단한 건 먼저 개선 좀 해주세요.클릭  몇번만 하면 수정 가능한 일인텐데 수정안하시네요일부러 시민들 골탕 먹이려는 생각인가요?한방에 해결하려다 또 먹통만드려는 속셈인가요?공공기관이라 참 다르네요회사에서 사용하는 앱이 이 지경이었다면 난리났고 금세 수정됐을텐데 역시 공공기관에서 일하시는 분들은 참 여유있게 일 하시네요부럽네요
이런 쓰레기같은,쉬운 질문인데 따릉이 운영팀에서 답변을 안하니 제가 해드릴게요.spb=seoul public bike의 약자로 서울 공공자건거라는 의미spb 뒤에 붙는 번호는 따릉이 일련번호로 등록순서라고 보시면 될 듯댓글 기능이 있으면 좋을텐데 없네요
아니 업데이트되고 작동이 하나도안되는데요? 장난하나,항상 서울역을 기준으로 설정된 지도를 자신의 gps 상황 혹은 자주 가는 대여소를 기준으로 지도를 보여줬으면 좋겠습니다.
지금까지 잘쓰고있는걸 왜 거지같이 패치해서 지도는 뜨지도않게만들고 하여간정부에서 만든거는하나같이...,잠금장치는 잠겼는데 반납이 안돼요
"고등학생들이 어플 만드는거 한 달 배우고 만들어도 이것보단 잘 만들겠다. 생각이란 걸 좀 하고 만들자. 이게 지금 사람이 쓰라고 만든 
어플이냐?",회기역 출구상관없이 역인데 하나정도는 있어야되지 않나요ㅠㅠ시급합니다ㅠ
하..갤럭시s8엣지 사용자구요..지도 좀 개선해주세요. 어디에 몇개 자전거 있는지 검색 자체가 불가능합니다.,첫화면을 본인이 설정 가능하게 해주세요.예를들어 환경설정에 들어가면 첫화면 설정 지도자주가는대여소대여소검색이렇게끔 본인이 선택가능하게 해주세요
바뀐거 최악임 다시 전버전 쓰고 싶다,지도는 제대로 뜨지도 않고. qr코드 말고는 제대로 대여도 안되네요. 일을 이따구로 합니까. 외주업체 잘못쓴거같아요. 한마디로 개판.
느려터지고 잘 되지도않음 지도에 내위치로 가기도 없고 공무원스러운 쓰레기앱,선정릉역 설치 요청2017년에 검토했다는 답변말고 올해 검토 결과 알려주세요
업데이트 된 후로 문제가 더 많아요. 예전버젼으로 되돌려주세요.,대여소가 어디에 있는지 찾을 수도 없고 앱이 너무 느려졌어요. 앱을 발로 만듭니까. 공공앱이라고 너무 성의없게 만들었네요
