,id,date,title,content
0,le******,2019.08.03,어제부터 이틀연속 어플 오류,"안녕하세요.따릉이 2시간 1년권을 끊어서 잘 이용중인 사용자입니다.아이폰 사용자이며, 어플 최근 업데이트까지 모두 한 상태인데,어제부터 어플이 오류여서 이용을 못 하고 있습니다.'네트워크 연결 오류입니다. 다시 연결하시겠습니까?'알람창이 뜨면서 확인, 종료 두가지 버튼이 뜨는데,확인을 누르면 다시 로딩 후 저 팝업창이 뜨고,종료를 누르면 어플이 그냥 종료됩니다.안드로이드 사용자들은 잘 되고, 아이폰 사용자들만 오류 뜨는 것 같은데피드백 및 해결 부탁드립니다.감사합니다."
1,wo****,2019.08.03,90일권 개설 건의한지 1년 지났습니다.,아직도 안만드셨네요?작년 약속하신 '빨리 개선의 노력' 은 어디로?? 30일권은 너무 짧고 180일권은 너무 깁니다.  제발 올해는 90일권 꼭 만들어 주세요!!
2,Li******,2019.08.03,자전거 반납 미처리,SPB-09376반납 후에 미반납 문자가 와서 다시 가서 확인해보니 거치대에 꽂혀 있으나 반납처리가 안됩니다.
3,qw****,2019.08.03,먹골역 6건출구 반납 자전거번호 12010,8월3일 새벽2시39분경 먹골역 6번출구 앞 3번 연결되있는 자전거로 연결거치로 반납햇는데반납햇다고 문자가 안와서 남깁니다 혹시 몰라서 사진도 찍어놓았습니다 추가요금은 나오는건 아닌지  신속히 확인부탁합니다.
4,ju******,2019.08.03,따릉이가 없어졌습니다,동대문 종합시장 거치대에서 08415 자전거21:45분에 대여해서용두동 래미안허브 10번 거치대에 00:20분경에 반납했는데요..미반납표시가 떠서 다시 갔더니 자전거가 없었습니다ㅠ 분명 화면에 그림 뜬거 보고 집에 갔는데 말이죠.. 걱정돼서 잠이 안오내요..그 짧고 어둑한 시간에 그걸 훔쳐간 사람이 원망스럽기도하고 부주의했던 제 자신이 답답하게만 느껴지내요Gps로 위치파악 파악가능한가요? 전액 배상해야하는거구요? 답답한 마음에 여기에 남깁니다
5,lu********,2019.08.03,나도 공무원이나 해야지^^,되지도 않는 자전거 설치하고 며칠동안 아무런 조치도 안하고 날로먹는 공무원!!나도 열심히 해서 공무원해야지!
6,ru****,2019.08.03,연결거치했는데 반납이 안되었습니다.,"2019년 8월 2일 22시 4분에 대여소1124번(발산역 6번출구 옆, 다이소앞) 에서 자전거 14158번을 대여해2019년 8월 2일 22시 23분에 대여소1110번(공항중학교 앞)에 도착해 제가 이용한 자전거 14158번을 주차되어있던 자전거 24149번에 연결거치하였습니다.반납되었다는 소리도 안났고  카톡이나  문자로 반납되었다는 연락이 오지도 않았습니다. 결론적으로는 연결거치가 되어서  자전거가 절대 풀리지 않았는데요, 10시 이후로 상담시간이 지나서 통화가 안되어, 우선은 사진여러장 찍어놓고 연결거치해놓은상태로 집에 왔습니다.앱상에서는 아직도 반납이 안되었다고 뜨고요.답변 부탁드립니다."
7,so******,2019.08.02,반납불량,자전거번호 10343 연결밥납해서 잠금은 됐는데 반납처리가 안됩니다.문자도안오고 단말기에아무것도 안뜨네요
8,dn*****,2019.08.02,따릉이.문제점.,따릉이 문제점이 많네요.첫번째는 잔고장이 너무 많아요.저렴하니까 많은건 이해하는데신고방법이 너무 복잡해요개선해야할 것은 빠르게 신고할 수 있는 방법꼭 전화하는거 말고요 버튼 눌러서 하는 방식이요두번째 문제는 비번누를때 누르는 버튼 인식 속도가 느려요세번째는 조금더 빠르게 자전거를 빌릴 수 있게 하는 방법 (간소화)현재 로그인 하고 위치번호 누르고 자전거 몇번인지 선택하고 비번누르고 선빼고 해야할 과정이 많아요물론 qr코드있지만 qr도 잘안되던데...하 이거 무슨로그인하고 바로 자전거 비번을 누르면바로 대여할 수 있게 하는 방식
9,dd********,2019.08.02,대여소 설치 요청,송파구 오금로 32길 13 예은유치원앞은 무려 4개의 아파트 단지가모인 고밀도 주거지역입니다 이곳에 따릉이대여소가 설치되었으면 좋겠습니다 주변 대여소는 거리가 있거나 규모가 너무 작아 항상 자전거가 거의 남지 않습니다  이곳 인구밀도를 고려해서 예은유치원앞이나그 근너편에 설치 요청드립니다 .
10,as*****,2019.08.02,카톡계정으로 자동로그인,카카오톡 계정으로 자동 로그인이 전혀 되지 않습니다.                이용할때 마다 다시 로그인을 해야하는게 너무 불편합니다. 수정 부탁드립니다. 더운 날에 고생 많으십니다. 좋은 하루 되세요
11,lb*****,2019.08.02,시스템 진짜 병신 같네요 ^^,앱은 개 쓰레기필요한 곳에 자전거는 없어어플에는 빌릴수 있다고 해서 가보면 대여가능한 자전거가 없데 ㅋㅋㅋ (심지어 자전거가 있음)비밀번호 입력 할 때 터치가 안되연결거치 끝 자전거 문제 있다면 연결된 자전서 이용 불가자전거 기어 변속은 안되아동용 자전거로 운영하지 않나기사에 대당 70만원이라는데 70만원이면 입문용 로드 구매가능인데 이건 뭐...솔직히 이거 국정감사 급이라 본다.
12,eh*******,2019.08.02,진짜 개발자들 앱개선좀 하세요 돈내는 사람으로 너무하네요,앱개선좀 하세요 제발 따릉이 일년간 타면서 참고참고 써왔는데 오늘터지네요 불편한게 한두게가 아니고 너무많아요 개발자는 진짜 정신차리고 앱스토어 플레이스토어 리뷰 보시면서 직접사용하면서 개선좀 해요 진짜 앱이용하면서 이런글 리뷰 남긴적도 없은데 27살면서 처음으로 개빡쳐서 남깁니다
13,qu*****,2019.08.02,2만번대 자전거 기어 풀림 불량 리콜요청,안녕하세요. 따릉이 이용하면서 조금 불편해도 공공자전거의 한계가 아닌가 싶어 좀 참고 기다리자 하고 있었는데 안전에 직결되는 문제라 리콜요청 합니다.  주로 2만번대 자전거에서 3단으로 놓고 고속이나 언덕에서 힘을 많이주고 달리면 3단에서 기어가 풀렸다 다시 연결되는 현상을 많이 (10대 가까이)발견했습니다. 저속 혹은 2단에서는 괜찮구요. 이경우 발이 페달에서 갑자기 풀려 자전거가 휘청하여 사고 위험이 매우 높구요. 오른쪽 기어 레버를 3단 끝까지 당기고 달리면 좀 나아지기도 한걸 봐서는 제조 불량 혹은 부품 결함으로 보입니다.제조사와 확인해 점검 혹은 리콜까지도 필요해 보입니다.
