,noun,count
55,앱,749
7,어플,329
40,결제,301
123,자전거,293
0,따릉이,258
531,지도,246
34,로그인,245
15,대여,221
82,업데이트,201
309,오류,198
8,사용,190
97,이용,177
268,대여소,159
128,시간,154
225,불편,153
26,다시,131
211,로딩,131
93,회원,123
76,돈,122
61,쓰레기,113
407,가입,109
146,제대로,109
58,계속,105
16,반납,92
80,세금,92
270,검색,90
253,개선,89
54,그냥,80
113,카드,75
86,인증,71
96,사람,71
189,기능,70
215,아이디,70
49,시스템,69
308,화면,68
198,위치,68
87,번호,66
483,개발자,64
1065,실행,60
131,비밀번호,58
85,서울시,57
3,생각,57
264,처음,56
205,자체,55
861,전,55
394,타고,54
50,짜증,54
319,개발,53
105,이용권,51
323,말,51
28,함,51
69,공무원,50
627,한번,50
1055,버전,50
327,게,49
447,무슨,49
226,문제,49
12,자동로그인,48
218,찾기,48
19,전화,48
324,하니,47
731,지금,46
542,비번,46
338,임,46
214,관리,45
199,서비스,45
411,등록,45
448,보고,44
724,아예,44
37,해,43
678,접속,43
310,도대체,43
247,부터,42
51,거지,42
322,필요,42
52,카카오,42
742,통신,42
203,표시,42
120,어도,41
421,설치,41
527,정기권,40
600,먹통,40
149,오늘,40
142,일,40
743,장애,39
478,부탁,39
471,다른,39
363,정도,38
1095,확인,38
170,리뷰,38
558,코드,38
92,비,37
104,아무,37
161,또,37
340,폰,36
94,구매,36
991,데이터,36
458,이상,36
60,건가,35
279,기,35
1052,에러,35
67,이따,35
91,어디,35
112,매번,35
259,별,35
400,공지,35
43,권,35
721,타,34
202,물방울,34
9,려면,34
711,체크,33
492,이나,33
376,뒤,33
38,자꾸,32
788,이전,31
191,인식,31
106,방법,31
615,지고,31
449,중이,31
284,무한,30
130,나,30
598,입력,30
472,분,30
1472,업뎃,30
495,연결,29
820,낭비,29
555,버튼,29
626,이후,29
672,결,29
429,천원,29
556,건,29
266,가요,29
137,누가,28
241,보,28
111,가능,28
625,자동,28
746,문자,28
256,업체,28
287,때문,27
18,고객센터,27
424,종료,27
427,수정,27
109,정보,26
355,로,26
1003,티머니,26
1863,현황,26
925,차라리,26
288,네이버,26
1296,려니,26
874,아주,26
430,시민,26
479,렉,26
302,사용자,26
351,설명,25
1047,추가,25
81,알,25
838,설정,25
603,점,25
632,욕,25
223,겁,25
305,하나요,25
713,유지,25
1724,테스트,24
336,서울,24
420,재,24
487,대체,24
646,요금,24
730,페이,24
56,켜,23
966,바로,23
661,가지,23
