,name,date,score,comment
2150,변규리,10/09/2018,5, 와 드디어 출시했네요!! 제 점수는요 트리플 따봉입니다<U+0001F44D><U+0001F44D><U+0001F44D>
1828,Google 사용자,19/09/2018,1, 지도에있다해서찾아다녓는데보이지도않음
1768,Google 사용자,23/09/2018,1, 아무리 찾아도 찾아볼 수 없음. 회사 주소를 보니 다 회사에서 충전중인거같은데... 실제 지도상에는 다 거리에 있는 것처럼 보여서 한참을 헤맸음.... 너무 불편함... 뭔가 조치가 필요해보임
2157,마가레뜨,04/10/2018,5, 짱짱
1800,Yoonsung Jeon,05/10/2018,2, 새벽 1시에 1시간동안 네군데 돌아다녔는데 다 못찾음 gps는 꽤나 정확한거 같았는데 운영되지 않는 시간대가 있는건지 개선이 필요해 보임
1729,김철수,05/10/2018,3, 1.가격이 비쌈. 버스 요금 1200원 따릉이 1시간에 1천원임. 그마저 따릉이 경우 1년 무제한 3만원임. 5분에 1천원 추가 1분당 100원이면 일단 가성비에서 패배. 2. 시스템 오류. 타는중에 갑자기 반납처리됨. 브레이크걸리면서 P존까지 들고간다고 완전 개고생함. 길한복판에서 땀 뻘뻘흘리며 반납존 찾아간다고 죽는줄 알았음.
1746,Youngwoo Choi,09/10/2018,5, 기다렸던 서비스에요. 너무 편하게 다닐 수 있어요. 높은 빌딩 사이에서는 GPS 가 조금 정확하지 않은 것 같아요. 빨리 고쳐주세요
1759,Arin Cho,12/10/2018,1, 주차되어있는 킥보드를 아무리 QR코드로 찍어봐도 운영시간이 아니라고 뜨네요. 가이드를 찾아봐도 따로 운영시간에 대한 공지가 없는데.. 너무 좋은 서비스 같아서 써보려고 기대했는데 준비도 안된 상태에서 시작하신것 같네요.. 얼른 개선하셔서 좋은 서비스 하시기 바래요
1788,시공좋아,13/10/2018,2, 재미는 있는데 가격5분에 1000원 비싸고 이용하면서 다른 앱사용하면 중간에 멈추네요 개선이 많이 필요한거 같아요
1769,K Kevin,14/10/2018,1," 지도보고 1키로 이상 다니며 10대 넘게 찾아봤지만 실제론 한 대도 찾을 수 없네요. 회사가 오퍼레이션 역량이 없던가, 시민성이 개똥이던가 둘 중 하난가요? 후자라면 후자도 고려해야 하는게 전자니까 결국 운영역량 이슈인 것 같네요."
