,name,date,score,comment
588,Google 사용자,01/07/2017,1, 많은 앱을 써봤지만 이런 엉망인 앱은 처음입니다 로그인을 하려면 휴대폰인증앱을 설치하라해서 했고 구글아이디넣으래서 넣었는데 로그인은 안되고 계속 휴대폰인증과 구글로그인이 반복됩니다 정말 시민을 위한 정책이 맞는지..서울시 실망스럽네요ㅠ
581,이용석,04/07/2017,3, 앱좀 신경써서 만들지..... 자전거는 잘쓰고 있는데 앱이 너무 쓰기 불편하고 느리고 이상하고.. 카드결제는 앱카드나 isp지원하면 좋겠고... 결제진행이 너무 느려요... 그리고 카드번호 및 정보 입력하는 방식도 2000년도 초반에나 썼지..
1648,김종욱,06/07/2017,1, 무슨 앱이 시스템 변경때문에 회원가입도 못하게 하나요? 결재나 이용권 끊을 때 안되게 하면 되지 답답합니다
578,정규환,08/07/2017,1, 진짜 최악이다. 계속 로딩메세지만 뜨고 접속이 수십분동안 안된다. 고객센터은 계속 통화중. 정기권 추ㅏ소해야겠다 ㅡㅡ
664,Crescent Moon,08/07/2017,2, 처음 어플리뷰 글을 남기게 하네요. 누가 버전 스마트폰인데 앱로딩속도가 느리거나 먹통으로 진행이 되질 않습니다. 사용하려다 실패하고 결국 버스로 왔습니다.
694,엘리산드,08/07/2017,1, 앱은 하루종일 로딩중이고 카즈는 이제 인식이 안되고 자전거 이용이 몰리는 지역은 자전거를 더놓던가 해야되는데 그것도 아니고 정말 불편하네요
748,seungeun lee,08/07/2017,1, 정말 최악입니다.  괜히 내핸폰이  잘못된줄알고 자전거앞에서 20분 버리고.   정기권 보상해주세요
1334,Louis Jung,08/07/2017,1, 무한로딩 ㅡㅡ
1204,박종현,09/07/2017,1, 어플 갑자기 왜이리 버벅거리나요;;로그인 자체가 안되서 대여를 못하는데
1394,찰몽몽,10/07/2017,5, 좋아요!
1609,최윤호,10/07/2017,1, 업데이트안되요
790,송민석,11/07/2017,1, 회원가입했었는데아이디비밀번호찾는시스템이최악이네요이거 본인인증해서하랫더니 기존아이디가있다하고아무말도없음 시에서만들었다는게이수준
987,Google 사용자,15/07/2017,5, 시민들 믿고 그냥 풀어놓고 타게 해주세요. 재외동포재단 이인우님이 예수님이세요.
614,박용수,16/07/2017,4," 서울 곳곳에 대여소가 정말 많아서 놀랐습니다. 여러가지 방향으로 좋은 취지의 정책이라고 생각합니다.  앱을 사용해보고 몇 가지 의견 드립니다.  1. 자주가는 대여소의 현황을 간단하게 확인할 수 있으면 좋겠습니다. 현재 앱으로는 매번 지도를 직접 끌어서 봐야되서 불편합니다.  2. 마이페이지에서 주행거리와 탄소감축량을 알려주는 건 좋은 아이디어라고 생각합니다. 이 정보들을 앱을 켰을 때 바로 보이게 하거나 위젯을 통해서 볼 수 있게하면 사람들이 더 성취감과 만족감을 느낄 수 있을 것 같습니다.  3. 자전거 이용에 관한 컨텐츠가 더...전체 리뷰서울 곳곳에 대여소가 정말 많아서 놀랐습니다. 여러가지 방향으로 좋은 취지의 정책이라고 생각합니다.  앱을 사용해보고 몇 가지 의견 드립니다.  1. 자주가는 대여소의 현황을 간단하게 확인할 수 있으면 좋겠습니다. 현재 앱으로는 매번 지도를 직접 끌어서 봐야되서 불편합니다.  2. 마이페이지에서 주행거리와 탄소감축량을 알려주는 건 좋은 아이디어라고 생각합니다. 이 정보들을 앱을 켰을 때 바로 보이게 하거나 위젯을 통해서 볼 수 있게하면 사람들이 더 성취감과 만족감을 느낄 수 있을 것 같습니다.  3. 자전거 이용에 관한 컨텐츠가 더 풍부하게 추가된다면 좋을 것 같습니다. 예를 들어서 안전운행, 올바른 주행 자세, 라이딩 코스 등등  4. 마지막으로 기존앱은 갖다버리고 앱을 새로 제작해야 될 것 같습니다. 다른 분들이 말씀하신 것처럼 너무 구려요  현재 1달 넘게 이용하고 있는데 편리하고 무엇보다도 재미있습니다. 알차게 이용중입니다."
922,문소영,16/07/2017,2, 아이디 찾기 하면 제 생년월일로는 정보가 없다고 하고.....  회원가입 하려면 이미 되어있다고 하고.... 이미 되어있다고만 할 게 아니라 아이디를 알려주세요ㅠㅠ 뭐 어디로 전화해야 해요?
527,손승현,17/07/2017,1," 이렇게 좋은 시스템을 어플이 망치네요. 부디 UX 디자인 꼭 처음부터 다시 하시길. 매번해야 하는 로그인부터 결제시 뜨는 오류, 지도 이용로 자전거 정거장 위치 찾는 것도 너무 불편하고. 지금은 정기권 구매하려는데 오류 때문에 안되네요. 관련 담당자분은 꼭 상해로 출장가셔서 모바이크 보시고 벤치마킹 하세요. 기왕하는거 제대로 하길 바랍니다."
1001,민선혜,18/07/2017,1, 진짜 쓰잘데기없는 앱이네요. 뭐하나 예약하고 이용하기도 불편하게 구성해놓고... 찾아서 이용군 사는것조차 불편^^ 그리고 아이디 비번찾는거도 불편. 아이디 기억안나서 비회원권사려니 있는 번호라고 아이디 찾으라는데 안찾아지고^^ 일안하세요? 카드결제도 없는카드 있어서 마우 불편 쓰라는건지 말라는건지. 여기 평이 다 안좋은데 이쯤되면 일좀하시죠?^^
647,Google 사용자,25/07/2017,2, 대여소 실시간현황 새로고침을해도 대여소가안뜨네요; 친구가 아이폰인데 친구앱으로는 뜨는데 안드로이드폰인 제폰에서는왜안뜨는지.. 친구폰으로확인안해봤으면 대여소있는줄도모르고 사용못했을겁니다. 대여소위치는 바로바로최신으로 업데이트해줘야하는거아닌가요? 빨리개선해주세요
903,룰루,25/07/2017,2, 결제가 안돼요ㅜㅜ 모바일티머니로 하려는데 자꾸 시간초과? 됐다고만 나오고..이거 왜이러죠?
620,조범식,26/07/2017,1, 회원가입하고 로그인할랬더니 아이디 비번 다시 확인해달라고 해서 비번찾기 했더니 없는 회원정보라고 뜨네요;; 그래서 회원가입이 안됐나 해서 다시 회원가입 할려고 하니 이미 가입된 회원이라고; 아이디 찾기는 정상적으로 찾아지는데 왜 자꾸 비번찾기에서 회원정보가 없다고 나오는거죠? 주변에 보이길래 타볼려고 했는데 앱 로그인도 안되니 원..ㅠ
1395,유승엽,30/07/2017,5, 좋아요!
1678,박현듀겅듀,30/07/2017,5, 따릉이 콜센터 직원분 너무 친절하셨어요 여의도에서 빌려서 강남까지 갔는데 강남에 반납하는곳이 없어서 당황했거든요ㅜ그래서 자전거를 방치해서 밤새 요금나오고 그랬는데 콜센터직원분이 무슨일 있는거냐고 하셔서 사정 말씀드리구 강남에 있는 자전거 위치 알려드렸더니 직접 찾아가주시고 요금도 합리적으로 해주시고 정말 감사하고 죄송합니다
693,egongi gya,01/08/2017,1," 직관적 연결도, 논리적 정리도 안 되어 있는 산만하고 미숙한 앱과 홈페이지. 들어올 때마다 한시간 이상을 헤메고 전화를 걸어 설명을 들어야 사용이 가능하다"
809,IK HYUN KWON,04/08/2017,1, 로그인은 안되고 아이디찾으니 없다고 나오고 회원가입은 되어있다고떠서 포기함 비회원은 안되던데 왜만든거지 ㅋㅋㅋㅋ 1점주기도 아깝다
1285,sanghyeon ryu,04/08/2017,2, 사용가능한 이용권 없다고 한던데 어떻게 된거죠?
807,Choi Joong Hwa,08/08/2017,1," '공공자전거를 앱으로 이용한다'는 취지는 좋으나, 앱의 완성도나 사용자 인터페이스(UI)는 최악. 대여소 검색부터 구입, 결제까지 직관적이지 못한 불편함과 늦은 오류대응을 해결하지 못하는 한, 따릉이 서비스의 미래는 어둡다"
1292,겸댕,08/08/2017,1, 추과과금을 모바일티머니로 결제할 수있게해주세요
