,noun,count
53,자전거,5858
0,따릉이,5085
106,대여소,4369
2,이용,3995
97,설치,3278
44,반납,2967
66,대여,2677
1,시간,1587
251,사용,1475
33,부탁,1379
203,불편,1207
130,앱,1132
60,추가,1055
519,결제,1048
48,거치대,1039
81,사람,998
132,답변,993
21,확인,942
89,가능,934
331,생각,847
143,고장,827
96,지도,802
488,근처,797
52,출구,790
367,시민,770
339,다른,760
17,다시,736
49,처리,728
253,글,714
341,경우,708
87,위치,672
181,아파트,653
442,계속,648
512,왜,645
153,문제,628
296,정기권,622
358,장애,619
186,주변,617
149,전화,589
380,타고,588
133,번호,584
340,분,569
742,건의,567
16,연결,567
347,이용자,563
514,카드,554
14,못,554
1069,지역,545
408,주시,542
393,하나,536
363,통신,534
37,개선,533
664,등록,529
239,오늘,525
196,요청,519
1110,환불,509
147,신고,501
187,거리,498
865,이용권,495
160,현재,492
905,사거리,489
820,안장,488
447,다가,481
532,공원,475
301,언제,470
12,오류,468
739,서울시,467
1143,주민,465
61,요금,461
6,어플,458
610,정도,453
457,문의,448
209,필요,448
180,개,434
173,바로,427
148,방법,425
467,전,422
699,서울,418
188,거나,418
459,안내,404
182,단지,404
439,센터,404
309,이상,403
230,구매,399
190,항상,393
726,정말,390
863,지금,388
417,아침,386
77,말,383
47,문자,381
31,및,380
353,공지,379
176,길,378
1157,의견,373
551,버스,371
555,때문,371
376,자주,370
10,상태,368
90,가요,367
338,검색,365
748,시스템,361
660,면,360
73,화면,359
43,꼭,353
258,해도,352
562,도로,347
405,발생,336
998,관리,336
1147,위해,329
202,마다,325
102,조치,324
252,해,324
306,일,323
267,단,322
453,사항,322
25,버튼,318
817,한번,317
475,거치,316
355,어가,315
237,타,313
438,운영,313
1431,출퇴근,311
474,장소,309
32,해결,309
163,인지,304
364,또,303
744,소,302
288,나,292
907,수가,291
108,옆,290
854,대한,290
100,아무,289
498,함,289
365,제대로,289
34,아직,289
1150,검토,288
705,권,286
406,서비스,284
996,부족,284
28,그냥,282
318,인근,282
613,예정,282
1146,이동,280
676,기능,279
844,위,278
1493,공간,277
70,표시,276
145,하니,276
193,인구,273
161,로그인,272
1063,수고,272
212,비밀번호,268
682,돈,267
1182,상황,267
76,집,264
476,완료,257
746,부분,256
213,입력,256
171,던데,256
325,신청,255
18,습,254
925,부근,254
71,더니,253
1056,보,252
360,몇,249
131,고요,249
1210,내용,246
302,하나요,246
821,높이,244
283,매우,244
1557,질문,244
548,이유,244
537,입구,241
41,제발,239
550,점,239
232,뭐,238
207,하루,236
205,날,234
191,거의,231
57,혹시,229
9,모두,228
11,어제,227
451,재,225
4,사용자,225
385,래서,223
436,잠금장치,221
1089,처음,221
200,자동,218
95,여기,218
1169,상,218
536,한강,218
433,려면,215
1086,예약,214
128,여러,212
169,코드,210
170,도,209
1174,사이,208
375,까운,208
647,회원,208
553,환승,207
75,보고,207
261,다리,206
125,지나,206
531,리,206
3347,비공개,206
630,초과,206
1161,달,205
262,자,205
195,편,205
240,터,203
939,지하철,203
1387,관련,202
657,어도,201
602,쯤,201
464,자리,200
137,단말기,200
838,대해,200
543,유동,199
158,조금,199
1107,배치,199
1773,고객센터,199
1263,취소,197
1705,바퀴,196
242,게,196
40,어디,195
244,진짜,193
458,하라,193
23,두,192
495,매번,191
24,가지,190
2093,민원,190
1186,의합,185
2090,호선,185
991,치하,185
1036,해당,185
957,또한,183
938,정류장,183
122,이후,182
558,정류,182
646,비,181
1176,기존,178
1059,뒤,178
1347,계획,178
659,정,176
446,요즘,176
312,구,176
1068,원,173
596,매일,173
334,출근,173
725,중이,173
711,편리,171
465,를,171
172,무슨,170
916,처럼,170
840,대중교통,169
640,상담,169
544,수요,168
920,아주,168
1599,이전,168
624,다음,166
617,리하,166
1620,퇴근,165
1162,보이,165
1357,정보,165
115,카톡,164
2345,키,164
164,선택,163
704,일일,163
86,로,162
990,설,162
378,다만,161
1166,공사,160
382,아예,160
1265,변경,160
217,불가,159
366,시작,159
1259,교통,158
594,늘,157
509,진행,157
1817,홈페이지,156
1532,이해,156
389,저녁,156
779,보상,156
114,소리,156
116,연락,155
3,중인,155
155,인식,155
1838,결재,154
374,가장,154
866,대도,154
834,이번,152
896,불가능,151
50,새벽,151
1776,바람,151
669,공개,150
1623,오전,149
977,콜센터,149
263,안전,149
7,최근,147
194,고려,146
1159,게시판,146
1001,애용,146
599,신규,145
1550,조회,143
448,체인,143
1828,충분,142
204,수정,142
891,과금,141
295,점검,140
20,창,140
1756,기본,140
654,마일리지,140
979,짜증,139
201,전혀,139
579,오후,138
1238,도서관,138
1021,수도,138
1158,수렴,138
771,차,138
944,줄,137
867,실제,137
59,사진,137
1252,브레이크,137
965,통해,136
1035,모든,135
221,용,134
989,시설,133
513,티머니,133
494,설정,133
541,생기,132
1715,학생,132
754,요하,132
1258,마을,131
1113,대부분,131
308,중간,131
1064,무릎,131
373,군데,130
868,식,130
443,주,130
1399,지고,130
708,만큼,130
2286,조절,129
1535,방향,129
1239,알림,129
1264,라면,128
1345,기간,128
343,미리,128
716,초등학교,128
743,보관,126
1326,공,126
259,공공,124
1144,신설,124
1112,교통카드,124
80,간,123
2107,아래,123
336,지지,123
489,증설,122
1308,자가,122
238,참고,122
121,리지,121
799,가입,121
658,정책,121
787,듯,121
952,메뉴,121
1813,전부,120
58,라서,120
2522,수리,119
776,도움,119
927,예전,118
280,갑자기,118
8,업데이트,118
626,시도,118
1418,장치,118
1235,안나,118
618,여의도,117
1820,개월,117
559,소가,117
197,카카오,116
1529,뿐,115
611,만,114
83,기도,114
72,분명,114
99,동안,113
1302,찾기,112
281,사고,112
129,장,112
398,고하,111
422,입,111
250,직접,110
126,통화,110
753,필,110
801,일반,110
572,인도,110
249,보시,110
547,객,109
345,한지,109
620,탈,108
2010,적립,108
650,확,107
1083,대수,107
2769,정문,107
319,대가,107
2955,연장,106
523,수단,106
574,셨으,106
174,송파구,106
316,퇴근시간,106
440,밤,105
573,차량,105
1558,정확,105
227,이면,105
1096,편의,105
1714,답,105
1694,한시간,105
586,민,104
344,대기,104
525,핸드폰,104
1177,새,104
1167,인하,104
949,정거장,103
1501,천원,103
1931,병원,103
1121,활용,102
2816,현황,101
780,더라도,101
1510,지하철역,101
2865,클릭,101
117,오지,101
1020,문,100
1651,저희,100
1205,시장,100
871,잘못,100
1171,는걸,100
231,이건,99
377,합,99
1425,관,99
1385,개발,99
162,몇번,99
1202,출근시간,99
1725,결,99
1102,예,99
1728,동네,98
2485,모바일,98
688,본인,96
935,분리,96
282,위험,96
994,타이어,96
649,고정,96
2000,계,95
590,청,95
1053,현장,95
1358,메세지,95
222,운,94
449,빠,94
709,후불,94
507,한참,94
738,신,94
1566,주행,94
629,치,94
904,교,94
477,네이버,94
2299,교차로,93
493,인증,93
361,대로,93
1309,일단,93
931,그대로,93
812,바,92
662,생,92
198,톡,92
1458,여부,92
1519,사라,92
54,연결거치,92
305,기준,92
2891,아가,92
836,먼저,91
311,개인,91
2023,현대,91
371,버스정류장,90
1132,아보,90
3893,전기,90
870,금액,90
1232,신경,90
921,고객,89
111,중학교,89
1530,체크,89
951,평소,89
359,자체,88
279,페달,88
2386,겁,88
886,다산,88
490,가기,88
1217,강서구,88
1833,도대체,88
2088,셔,87
1662,데이터,87
215,끝,87
515,상당,87
822,인,87
327,너,87
3888,개통,87
707,신용카드,86
1463,불구,86
869,볼,86
1740,가면,86
456,자꾸,85
1660,거기,85
570,보도,85
427,아야,85
1427,동하,85
2371,조건,84
982,바구니,84
1330,삼거리,84
856,비용,84
2035,이제,83
1482,명,83
713,보기,83
35,작년,83
206,고생,83
1968,강남,83
150,방식,83
1105,남아,83
2255,오류로,83
798,사실,83
1496,설명,82
978,일주일,82
1465,가야,82
98,며칠,82
842,접수,82
1248,폰,82
1226,직원,81
2861,금,81
1518,얼마,81
2785,세,80
1134,누가,80
1932,건너편,80
714,물방울,80
273,현상,80
1726,제하,80
425,고등학교,80
671,뭔가,80
740,말씀,80
391,건너,79
1363,일부,79
2265,담당자,79
1402,마,79
733,메시지,79
402,유지,79
789,운행,79
2099,학교,78
1847,접속,78
961,페이,78
1723,예상,78
692,세금,78
2817,회사,78
850,정상,78
113,주차,78
2125,비어,77
964,확대,77
894,체적,77
1541,지난,77
910,시간대,77
357,반복,76
2150,화,76
2202,직장인,76
2376,낭비,76
1474,돌,76
1344,시기,76
416,상적,76
1795,거주,75
2624,페이지,75
830,대여시간,75
2102,일정,75
154,비번,75
379,꽤,75
710,더욱,75
1481,세대,74
761,운동,74
1077,오래,74
445,조속,74
953,휴대폰,74
672,결과,74
860,기분,74
1103,원래,73
2762,제한,73
303,만약,73
737,제공,73
1253,작동,73
437,어보,73
1454,임,73
22,종료,73
851,약,73
663,각하,72
552,의,72
3573,게시,72
1400,겨우,72
1179,입장,72
1246,아이디,72
127,우선,71
2366,라가,71
720,음성,71
901,폐쇄,71
3971,실행,71
165,선,71
4963,마들역,71
266,주로,70
1915,서요,70
5304,버전,70
291,불량,70
460,타지,70
218,기어,70
1193,일대,70
1045,서도,70
619,보이지,69
943,이내,69
1000,주하,69
1061,부,69
26,로딩,69
1540,반영,69
485,중앙,69
1731,구간,69
1893,이지,69
2309,불만,69
255,살,69
2695,본적,68
889,홈,68
3138,건강,68
223,영하,68
1696,이루,68
2835,먹통,68
1281,손,68
502,도입,68
4326,오픈,67
749,마지막,67
1827,대체,67
2073,강남구,67
1516,어진,67
621,사,67
120,풀,67
39,은,67
141,첫,66
452,택시,66
13,여서,66
807,변,65
1669,서초구,65
987,공기,65
1027,감,65
5628,프리미엄,65
156,속도,65
104,공무원,65
831,동일,65
912,얼마나,65
1050,그것,65
272,달리,64
2129,외,64
484,구로,64
1910,달라,64
597,시정,64
829,교체,64
2362,멘트,64
2002,실,64
805,멀리,64
504,별,64
1301,안보,63
603,벌써,63
2588,핸들,63
1686,당하,63
1981,스마트폰,63
1322,가끔,63
1844,롯데,63
112,도착,63
461,대책,62
1853,불,62
750,사업,62
992,간단,62
2053,물,62
1810,좀더,62
423,구역,62
1782,다그,62
256,처,62
2086,삭제,62
1332,초,62
930,제목,62
1899,곳도,62
2721,려니,61
269,언덕,61
226,만원,61
1444,남,61
1975,엉망,61
2439,펑크,61
2077,숫자,61
1946,분실,61
2163,어이,61
747,해제,60
1665,인터넷,60
770,방치,60
2576,성,60
1004,송파,60
956,따라서,60
270,힘,60
2436,종로,60
895,복구,60
508,어찌,60
1619,제일,60
1551,활성화,60
1156,탈수,60
136,도안,60
1151,시간권,60
1342,전체,59
1527,메인,59
1490,각,59
719,경,59
1007,맞은편,59
592,비치,59
3541,전용,59
2024,노원구,59
919,지점,59
1836,문화,59
1816,밀집,59
3911,길이,58
454,애,58
5,아이폰,58
3653,덕분,58
815,진,58
2414,단체,58
1320,포함,58
2365,책임,58
