,tokenized,detoken
0,"['누르기', '어플', '계속', '로그아웃', '네이버', '로그인', '어차피', '여기', '회원가입', '사용', '가능', '계속', '로그인', '려면', '회원가입', '비밀번호', '새로', '버튼', '로그아웃', '사태', '방지', '네이버', '카카오톡', '로그인', '도', '이해', '안되']",누르기 어플 계속 로그아웃 네이버 로그인 어차피 여기 회원가입 사용 가능 계속 로그인 려면 회원가입 비밀번호 새로 버튼 로그아웃 사태 방지 네이버 카카오톡 로그인 도 이해 안되
1,"['로그인', '화면', '자동', '로그인', '체크', '재로그인', '이상', '비밀번호', '저장', '자동', '로그인', '안되', '로그인', '네이버', '자동로그인', '안되', '따릉이', '네이버', '재로그인', '함', '결제', '핸드폰', '결제', '안되', '수정']",로그인 화면 자동 로그인 체크 재로그인 이상 비밀번호 저장 자동 로그인 안되 로그인 네이버 자동로그인 안되 따릉이 네이버 재로그인 함 결제 핸드폰 결제 안되 수정
2,"['좋아요', '정말', '유용', '사용', '있음', '많은', '자전거', '어디', '사라', '반납', '장소', '항상', '있', '밤', '많은', '비어', '있음', '관리', '좀더', '같아요', '이상']",좋아요 정말 유용 사용 있음 많은 자전거 어디 사라 반납 장소 항상 있 밤 많은 비어 있음 관리 좀더 같아요 이상
3,"['어플', '외주', '주시', '따릉이', '단점', '로그인', '불편', '매번', '인증', '카카오톡', '함', '로그인', '설정', '유지', '지도', '있는거', '임', '결제', '불편', '삼성', '페이', '교통카드', '결제', '추가', '어플', '전반적', '구성', '심', '플하', '직관', '이지', '설명', '제대로', '안되', '어있', '검색', '시스템', '구림', '많은', '이용자', '연결', '어려워', '어려워', '어디', '설명', '똑바로', '안되', '어있음', '실제', '있는', '자전거', '어플', '경우', '함']",어플 외주 주시 따릉이 단점 로그인 불편 매번 인증 카카오톡 함 로그인 설정 유지 지도 있는거 임 결제 불편 삼성 페이 교통카드 결제 추가 어플 전반적 구성 심 플하 직관 이지 설명 제대로 안되 어있 검색 시스템 구림 많은 이용자 연결 어려워 어려워 어디 설명 똑바로 안되 어있음 실제 있는 자전거 어플 경우 함
4,"['쓰시', '분', '혹시', '회원', '회원가입', '휴대폰', '인증번호', '오류', '있으시면', '와이파이', '데이터', '다시', '몇번', '그나', '이전', '시간', '부터', '시간', '지나', '탈', '있는거', '굉장히', '불편', '시스템', '보이']",쓰시 분 혹시 회원 회원가입 휴대폰 인증번호 오류 있으시면 와이파이 데이터 다시 몇번 그나 이전 시간 부터 시간 지나 탈 있는거 굉장히 불편 시스템 보이
5,"['어플', '쓰레기', '자체', '임', '입하', '열받']",어플 쓰레기 자체 임 입하 열받
6,"['서버', '오류']",서버 오류
7,"['선물', '안되']",선물 안되
8,"['제로페이', '설정', '할인', '이벤트', '걸얺', '결제', '방법', '시도', '지도', '분', '이상', '있었다', '고요', '노면', '제대로']",제로페이 설정 할인 이벤트 걸얺 결제 방법 시도 지도 분 이상 있었다 고요 노면 제대로
9,"['결제', '단계', '허구', '날', '무한', '그때', '로그인', '반복', '일', '척도', '공무원', '월급']",결제 단계 허구 날 무한 그때 로그인 반복 일 척도 공무원 월급
10,"['깝', '별', '좋다', '정책', '관리', '관리', '람사', '좋겠다', '없다', '관', '리하', '사람', '신병', '같다', '어플']",깝 별 좋다 정책 관리 관리 람사 좋겠다 없다 관 리하 사람 신병 같다 어플
11,['좋아요'],좋아요
