selected,content
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함",
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함",
결제 과정의 불편함;자전거 관리 상태,
대여 비밀번호 관련 불편함;결제 과정의 불편함;자전거 무게,
이용권 사용의 불편함;자전거 관리 상태;불편사항 없음,
결제 수단의 부족;대여 비밀번호 관련 불편함;대여 방식의 불편함,
"어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함;결제 과정의 불편함",
결제 수단의 부족;결제 과정의 불편함;자전거 무게,
로그인의 불편함;결제 수단의 부족;자전거 관리 상태,
불편사항 없음,
"어플 끊김, 어플 메뉴 배치의 불편함;자전거 무게",
불편사항 없음,
"어플 끊김, 어플 메뉴 배치의 불편함;이용권 사용의 불편함;반납 과정에서의 불편함",
결제 수단의 부족;자전거 관리 상태,
결제 과정의 불편함;자전거 무게,
로그인의 불편함;결제 수단의 부족;결제 과정의 불편함,
불편사항 없음,
"어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함;자전거 관리 상태",어플이 구림
결제 과정의 불편함,어플 오류가 잦음 결제오류
지도(GPS),
자전거 관리 상태;대여 방식의 불편함,
결제 수단의 부족;자전거 관리 상태;대여 방식의 불편함,
"비밀번호를 누르고 연결장치를 빼서 자전거를 이용하는데, 연결장치가 안 빠지는 경우가 많았어요!(반납과정에서의 불편함으로 추가) 호기심에 문의했더니 직전 이용자가 너무 세게 연결시켜서 오류가 생긴 거라고 하셨어요! 4번에 한 번 꼴로 있었던 것 같아요!",정기권 이용자가 많은데 만기 며칠 전에 문자나 카톡으로 고지해주는 서비스가 있으면 좋을 것 같아요. 
"어플 끊김, 어플 메뉴 배치의 불편함;로그인의 불편함;대여 비밀번호 관련 불편함",
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;자전거 관리 상태",
"어플 끊김, 어플 메뉴 배치의 불편함",
자전거 무게;자전거 관리 상태;대여 방식의 불편함,
결제 수단의 부족;결제 과정의 불편함,
지도(GPS);로그인의 불편함;자전거 관리 상태,따릉이 연결 장치 오류
"어플 끊김, 어플 메뉴 배치의 불편함;결제 수단의 부족;자전거 관리 상태",자전거 상태를 꾸준히 체크해야한다고 생각한다
로그인의 불편함;결제 과정의 불편함;자전거 관리 상태,
로그인의 불편함;반납 과정에서의 불편함,
로그인의 불편함,이용방법 설명이 생각보다 복잡하게 되어있어 지인의 설명 없이는 이해하기 힘들었을 것 같다
로그인의 불편함;결제 수단의 부족;결제 과정의 불편함,자동로그인이랑 간편결제를 만들면 좋을것같아요
자전거 관리 상태,모바일로 결제할 때 오류가 많이 나는 거 같습니다.
결제 과정의 불편함,
로그인의 불편함;자전거 관리 상태,패달상태 
대여 비밀번호 관련 불편함;이용권 사용의 불편함;자전거 무게,
로그인의 불편함,1065499331
불편사항 없음,없습니다!
지도(GPS);대여 비밀번호 관련 불편함;대여 방식의 불편함,
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;자전거 무게",
"어플 끊김, 어플 메뉴 배치의 불편함;자전거 관리 상태",
"지도(GPS);어플 끊김, 어플 메뉴 배치의 불편함;자전거 관리 상태",
"어플 끊김, 어플 메뉴 배치의 불편함",저는 지금 너무 잘 이용하고 있습니다 :)
불편사항 없음,
로그인의 불편함;결제 수단의 부족;대여 비밀번호 관련 불편함,
대여 비밀번호 관련 불편함;결제 과정의 불편함;이용권 사용의 불편함,
결제 수단의 부족;대여 방식의 불편함,
로그인의 불편함;결제 수단의 부족,
"어플 끊김, 어플 메뉴 배치의 불편함;불편사항 없음",
결제 수단의 부족;결제 과정의 불편함;자전거 관리 상태,
이용권 사용의 불편함,
