,user_name,date,rating,thumbs_up,review_text
0,hayeon,2019년 9월 29일,1,11,뭐 누르기만 해도 앱이 계속 로그아웃되고 네이버로그인을 해봤자 어차피 여기 가입을 해야 사용가능. 계속 로그인 시키려면 가입하고 비번도 새로 만들어야 버튼하나 누를때마다 로그아웃되는 사태를 방지할수있음. 네이버 카카오 로그인을 왜 만든건지 1도 이해안됨.
1,신아현,2019년 9월 23일,2,4,1. 로그인 화면에서 자동 로그인 체크하고 재로그인하면 이상한 비번이 저장되서 자동 로그인이 안돼요 2. 1이 안되서 SNS 로그인으로 하는데 네이버 자동로그인이 안되서 따릉이 쓸때마다 네이버 재로그인함 3. 결제가 핸드폰 결제밖에 안됨 ** 수정좀 해주세요
2,Luis sy park,2019년 9월 29일,5,1,"너무 좋아요 . 정말 유용하게 잘 사용 하고있음 그런데 많은 자전거가 다 어디로 사라 졌나요 ? 반납 장소에 1-2개만 , 항상 있어요 밤 12-1시에도 많은 곳이 비어 있음 ! 관리를 좀더 잘 해야 될것 같아요 . 이상해요 😂"
3,임제나,2019년 9월 28일,1,4,어플 잘 못 만들겠으면 외주를 주시죠 따릉이 단점 1. 로그인 불편하게해놓음 매번 인증하고 카톡에서 눌러서 들어가야함 로그인 설정 유지는 되지도 않는데 왜있는거임? 2. 결제 겁나 불편하게해놓음 삼성페이랑 교통카드 결제도 추가좀 해줘라 3. 앱 전반적 구성이 심플하지 않고 직관적이지가 않음 설명도 제대로 안되어있고 검색시스템도 구림 4. 많은 이용자들이 연결거치를 어려워하고 푸는건 더 어려워하는데 어디에도 설명이 똑바로 안되어있음 5. 실제 있는 자전거랑 앱이랑 안맞는 경우 허다함
4,SK A,2019년 10월 6일,1,0,이거 쓰시려는 분 혹시 회원가입시 휴대폰 인증번호 안날아오는 오류 있으시면 와이파이를 끄고 데이터를 켜서 좀 기다려보던가 다시 몇번 해보세요...그나저나 이전에 탄 시간부터 24시간이 지나야 탈 수 있는거 맞나요? 그건 굉장히 불편한 시스템으로 보이는데요..
5,Jason Jeong,2019년 10월 5일,1,0,앱이 쓰레기 그 자체임. 가입하다 열받아서 안탄다 ㅋㅋ
6,임종수,2019년 10월 4일,1,0,서버랙뭐냐고
7,_오키쌤Okigclass,2019년 10월 3일,1,0,선물하기안되요
8,kimkongbu,2019년 10월 3일,2,0,"아니 뭔 제로페이 설정해놓고 50% 할인 이벤트를 걸얺면 뭐해요,,! 7개 결제방법 시도해도 되지도 않구만 40 분 이상을 붙들고 있었다고요,,! 만들어노면 뭐해요 제대로 되게해야지.. ㅡ.ㅡ"
9,Wilson Woodrow,2019년 10월 3일,1,0,결제단계에서 허구한날 무한팅김. 그때마다 로그인도 반복. 일하는 척도 안하는 공무원들 월급아까워 죽겠다.
10,hoony aa,2019년 10월 3일,1,0,깝다 한개 별. 좋다 정책. 못한다 개 관리 관리 이거 하는 람사 좋겠다 d졌으면. 가리대 없다 관리하는 사람s. 신병 같다 어플
11,ㄱㄱ,2019년 10월 2일,5,0,좋아요
12,서화성,2019년 10월 2일,1,1,아무리 해도 정기권 결제하기 버튼이 안눌려요 눌리는 척만하고 안넘어감... 일일권은 화면이 넘어가요
13,놈들인간,2019년 10월 1일,1,0,카카오로그인할 때마다 튕기는 현상 좀 제발 수정해주세요
14,Seungwon Lee,2019년 10월 1일,2,2,요즘 들어 앱 편의성 안전성 모두 좋아져서 잘 이용하고 있습니다. 다만 오늘 같은 날에는 서버가 터져서 대여가 불가능하네요.
15,HYUNMIN KIM,2019년 10월 1일,3,0,공익을 위해 너무 좋은 시스템이라고 생각합니다. 그런데 카카오계정 로그인은 왜 자꾸 리셋되는건가요? 매번 로그인을 새로하고 있습니다
16,치삼,2019년 10월 1일,1,0,제발 앱 리뉴얼 좀 해주세요 쓰기 너무 불편해요
17,Kim Sung Ho,2019년 9월 30일,5,0,따릉이 최고. 사랑해요 따릉이!
18,j j,2019년 9월 30일,1,2,"어플개발자님 요즘같은시대에 이렇게 대충 만들어놓고도 사람들이 많이 쓰는건 님의 실력이 좋아서가 아니라 자전거 이용하려면 어쩔수 없어서 그런겁니다... 절대 절대 절대 ""어?이정도면 괜찮은거 아닌가?""라는 쓰레기같은 생각은 버리세요 로그인 해놓고 홈으로 가서 종료 하려고 했더니 계속 로그인 화면 가지는거 실화입니까? 한번은 로그인저장 안해놨다고 로그인이 풀리고 한번은 자동저장해놨다고 로그인화면 가면 다시 홈화면으로 돌아오네요 ㅋㅋ 홈화면에서 뒤로가기 누르면 종료되야 하는건 스무살짜리 취미로 앱개발해보는 애들도 알듯 ㅋㅋ"
19,후후후,2019년 9월 30일,1,1,로딩중입니다만 주구장창 뜨고 넘어가질 않음
20,정성오,2019년 9월 30일,2,1,"따릉이 서비스 자체는 너무 좋습니다. 다만, 앱이 허술하고 안좋습니다… 앱만 개편되면 참 좋을거같습니다"
21,돼지,2019년 9월 29일,1,1,장난하냐고? 됬는데 다른사람 와서 안되고 또 다른사람와서 되고 장난하냐고 지금!!
