key,datetime,img_urls/0,caption,img_urls/2,img_urls/3,img_urls/4,img_urls/5,img_urls/6,img_urls/7,img_urls/8,img_urls/9,img_urls/10
https://www.instagram.com/p/B0cH0JuBohD/,2019-07-27T23:55:46.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/133ad042a77545c22580d2c237ca2852/5DCDE61E/t51.2885-15/e35/66805802_436402263623122_6304648548533938771_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,#filmcamera #필름카메라 #필카 #서울숲 #따릉이,,,,,,,,,
https://www.instagram.com/p/B0cHWFdBEJv/,2019-07-27T23:51:39.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/93f47bd4abf2fa073138d10cd20b19a2/5DC950A2/t51.2885-15/e35/66420707_1342590469226590_1826120093763809989_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,"주리야 생일..축하해..? #홍대 #도누리오빠곱창 #대창 #JMT
#홍대 #신점 #사주 #30000원 #이주희죽어
#상수 #도쿄빙수 #흠,,
#한강 #불광천 #따릉이 #뫼비우스의띠",https://instagram.ficn3-1.fna.fbcdn.net/vp/b1763e832b6360236ade075b8f89f4c3/5DCFC8CD/t51.2885-15/e35/s1080x1080/66608432_432383177358583_509946872199623273_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/e474cd61ff833b96e2070085005398a2/5DCFE946/t51.2885-15/e35/s1080x1080/64957023_2427947244195346_5671187895597518499_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/187ade43fe2bcd79952a5f6747405904/5DD78FE4/t51.2885-15/e35/s1080x1080/65795698_616001678809283_1545793565957391251_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/f55ec77cd373f5a82c35d6509f5e4c09/5DD34DBD/t51.2885-15/e35/s1080x1080/66440840_113172846674898_2322338717573740271_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/5502032b0ba744cf896468a1be3bb111/5DD68463/t51.2885-15/e35/66496996_1696568923820015_234796972429712133_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,,,,
https://www.instagram.com/p/B0cD6LYJfmc/,2019-07-27T23:21:38.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/a2f70c88e9339a53365b022040a16011/5DCBB76E/t51.2885-15/e35/s1080x1080/67523423_143954213372374_1006362165778698608_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,"#공간다반사 그리고 #툇마루마켓
천둥번개와 비로 인해 오늘 예정이였던 툇마루마켓은 취소되었습니다🥺💦 마켓은 저와 셀러의 몫만 있는게 아니라- 하늘의 몫도 있었네요~ 셀러들과 논의하여 다음 일정잡아볼게요!(*준비하시느라 고생하신 셀러님들도 토닥토닥이여요!) 발걸음에 꼭꼭 참고하여 방문해주셔요.
_
☔️일요일카페는 12-20시까지 정상운영합니다.
_
#당산#당산역#당산카페
#카페스타그램#한강카페
#상담카페#따릉이#한강",,,,,,,,,
https://www.instagram.com/p/B0cDaqul5OG/,2019-07-27T23:17:20.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/a4c45722c368d1537ae48b48e95efc84/5DCD3843/t51.2885-15/e35/66707794_809226119474989_8284721795581694719_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,#자전거 #따릉이,,,,,,,,,
https://www.instagram.com/p/B0b-8tqBtDH/,2019-07-27T22:38:17.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/990e14cd202081818673011d794fb97c/5DC9BF2F/t51.2885-15/e35/67152664_977400892591232_4850234501980465762_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,엄청돌아다님 #따릉이 #자전거 #bicicleta #outdoor #bicycle,,,,,,,,,
https://www.instagram.com/p/B0b2I_VndRP/,2019-07-27T21:21:19.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/264d14c35373b5a458fb388d6f86eb46/5DD13D68/t51.2885-15/e35/p1080x1080/66665672_634477580369943_118720901861729598_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,".
#따릉이 타고 야밤 한강 #라이딩 중독각
#한강 은 정말 #서울 인의 축복이요 자랑이다
비 올 줄 알았는데 안와서 한참 #강멍 #물멍
#잠실대교 #한강공원 #자전거",https://instagram.ficn3-1.fna.fbcdn.net/vp/a447420e8a7c08db14b787886f7ddef3/5D3F2B2B/t51.2885-15/e35/65866250_2522133061172160_6666248156280673086_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/293df28cebfd9224a54f67c463445045/5D3F4BEB/t51.2885-15/e35/67184330_120774239207366_173287054548660930_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,,,,,,,
https://www.instagram.com/p/B0bqH5TH0MT/,2019-07-27T19:36:19.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/9e1a933afde830cda758a07d3c19ee3e/5DE9A9FE/t51.2885-15/e35/p1080x1080/67438552_159643888537280_3434996944465478478_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,"오랜만에 렌즈끼고 외출~
따릉이 타자마자 비옴.. #렌즈 #오렌즈 #러시안벨벳브라운
#따릉이 #비와서다젖음..😂",https://instagram.ficn3-1.fna.fbcdn.net/vp/30811ee1eeb01af946955d0b1e566609/5DE1415C/t51.2885-15/e35/p1080x1080/66161184_430839944310311_6515595375510445225_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,,,,,,,,
https://www.instagram.com/p/B0bpKgnhye3/,2019-07-27T19:27:56.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/14f7ece7146c3a5ee8d9443b0ab6076e/5DE1E7D1/t51.2885-15/e35/s1080x1080/66088839_331961477689924_5325809332407074333_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,비 좀 그쳐라#날씨 #비 #따릉이 #한강 #친구들 #followforfollowback,https://instagram.ficn3-1.fna.fbcdn.net/vp/a307b3719a9bb1983cac8bc96e1a7ac8/5DD1D349/t51.2885-15/e35/s1080x1080/66619135_119473989073592_2694135020006109528_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/f3ea3c5525e71bbec276a857de2d3255/5DE24CA7/t51.2885-15/e35/s1080x1080/66336478_742956352789980_7564885874892628604_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/467bdbc85bd89953b1c9188fb676d892/5DCA4067/t51.2885-15/e35/s1080x1080/66510947_157210062004515_805422436955304438_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,,,,,,
https://www.instagram.com/p/B0bpFBJhlUc/,2019-07-27T19:27:11.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/4083672f30f131e71c28564f4dd11d09/5DDE2BA5/t51.2885-15/e35/67300197_365300777750415_7605949347854190842_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,"#1. 역시나 비엣젯항공은 연착이었으며, 심야공항버스를 한참 기다린 후에야 서울땅을 밟았다. 오랜 비행으로 찌뿌둥하기도 해서 귀가길의 마무리는 택시가 아닌 따릉이.(운동을 거부한 유벤투스의 누구와는 다른 행보) 덕분에 뭔가 현실로 돌아온 느낌이 빠르게 들어서 기념샷v

#2. #3. 나트랑 대성당 / Yesrin 박물관
귀차노가 떠나간 뒤의 나트랑은 같은 공간이지만 좀 다른 느낌이었다. 외로운 마음에 잠시나마 기도도 하고, 박물관에서 역사 공부도 했는데 관람객이 나 혼자라 고독은 더 심해졌으며 덕력만 +1 상승했다.
#4. #5. Bánh cản 51 / Highland 닭고기 반미
길거리에 쪼그려앉아 반껀이라는 베트남 만두를 먹고, 커피체인 Highland에서 반미를 먹었는데 둘 다 정말 맛있었다. 아마 나트랑에 또 가게 된다면 먹으러 가지 않을까 싶은 정도의 맛인데, 문제는 베트남어 구사능력.

#. 실컷 놀고온 나트랑이었지만 마음이 불편했던 것은 호텔 앞에서 구걸하던 몸파는 아가씨들, 그리고 야시장에서 바가지를 씌우려는 상인들, 또 불친절한 현지인들이었다. 기분이 영 좋지않아 짜증스러운 반응을 했는데, 마음 속 깊은 혐오감이 재채기처럼 튀어나온 것이었다. 사람은 그늘마저 눈부시다던 누구의 말마냥 그림자마저 보듬아주는 성인은 못되더라도 사람에 대해 너무 무신경해지는 것은 아닌지하는 반성.

#나트랑 #따릉이 #나트랑대성당 #Yesrin박물관 #banhcan #highlandscoffee #휴가끝 #다시일상",https://instagram.ficn3-1.fna.fbcdn.net/vp/7736d004a081fba471b2ffa61306a069/5DCD35F5/t51.2885-15/e35/66690787_156383352206693_3292112846143611593_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/3bf8f49947cdb1d8981fe5df0813d9cc/5DE3CE47/t51.2885-15/e35/66149210_119043269389029_5316300852985104235_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/bcc3ac7f233f92c0d25484f6b57c37b4/5DCD3D45/t51.2885-15/e35/65894024_667164247083552_5250718817030950462_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,https://instagram.ficn3-1.fna.fbcdn.net/vp/ff72ff6f300237bd89f0cce9768a4b18/5DEA41EA/t51.2885-15/e35/66411571_123773112231885_7894076877047356271_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,,,,,
https://www.instagram.com/p/B0bkyfWnjga/,2019-07-27T18:49:42.000Z,https://instagram.ficn3-1.fna.fbcdn.net/vp/7c54a328886f7a2750060ae19844a877/5DDCB514/t51.2885-15/e35/66140258_147933956294338_4470699850846546281_n.jpg?_nc_ht=instagram.ficn3-1.fna.fbcdn.net,"음주라이딩 아님🙅‍♀️ 달밤에 가볍게 타려고 나온건데
50km를 달렸네
#따릉이 요물😏

낼 근육통으로 고생 좀 하겠어😭

스트레칭하고 자야지
이러다 진짜 날새겠다🙄🙄 #야라🚴",,,,,,,,,
